bairro,percentual_verde,lat,lon,ano,mes,temp_max_media,temp_max_abs,chuva_total,umidade_min_media,estacao
Glória,1.1076478880368243,-22.916,-43.1756,2020,11,25.76333333333333,31.1,126.2,71.03333333333333,Primavera
Glória,1.1076478880368243,-22.916,-43.1756,2020,12,28.193548387096776,34.9,188.9,72.0,Verao
Glória,1.1076478880368243,-22.916,-43.1756,2021,1,30.141935483870967,36.4,88.1,62.38709677419355,Verao
Glória,1.1076478880368243,-22.916,-43.1756,2021,2,28.59642857142857,33.4,104.8,67.71428571428571,Verao
Glória,1.1076478880368243,-22.916,-43.1756,2021,3,29.87741935483871,34.3,71.9,62.096774193548384,Outono
Glória,1.1076478880368243,-22.916,-43.1756,2021,4,26.183333333333334,33.4,101.4,63.06666666666667,Outono
Glória,1.1076478880368243,-22.916,-43.1756,2021,5,25.19032258064516,33.5,40.4,65.0,Outono
Glória,1.1076478880368243,-22.916,-43.1756,2021,6,24.1,29.1,42.5,65.83333333333333,Inverno
Glória,1.1076478880368243,-22.916,-43.1756,2021,7,23.070967741935487,30.5,22.3,58.38709677419355,Inverno
Glória,1.1076478880368243,-22.916,-43.1756,2021,8,24.874193548387098,34.4,61.1,60.2258064516129,Inverno
Glória,1.1076478880368243,-22.916,-43.1756,2021,9,25.85666666666667,35.4,21.6,65.7,Primavera
Glória,1.1076478880368243,-22.916,-43.1756,2021,10,24.712903225806453,33.4,161.8,73.70967741935483,Primavera
Glória,1.1076478880368243,-22.916,-43.1756,2021,11,25.33,31.8,106.9,70.83333333333333,Primavera
Glória,1.1076478880368243,-22.916,-43.1756,2021,12,26.958064516129035,33.3,174.6,71.83870967741936,Verao
Glória,1.1076478880368243,-22.916,-43.1756,2022,1,28.948387096774194,35.8,207.8,69.83870967741936,Verao
Glória,1.1076478880368243,-22.916,-43.1756,2022,2,28.260714285714283,32.6,135.1,72.21428571428571,Verao
Glória,1.1076478880368243,-22.916,-43.1756,2022,3,30.19677419354839,34.7,46.5,61.03225806451613,Outono
Glória,1.1076478880368243,-22.916,-43.1756,2022,4,26.84333333333333,34.2,209.8,70.6,Outono
Glória,1.1076478880368243,-22.916,-43.1756,2022,5,25.096774193548388,32.2,40.3,63.83870967741935,Outono
Glória,1.1076478880368243,-22.916,-43.1756,2022,6,23.59,28.2,71.6,66.6,Inverno
Glória,1.1076478880368243,-22.916,-43.1756,2022,7,25.870967741935484,30.8,22.200000000000003,58.16129032258065,Inverno
Glória,1.1076478880368243,-22.916,-43.1756,2022,8,24.316129032258065,32.5,57.0,60.45161290322581,Inverno
Glória,1.1076478880368243,-22.916,-43.1756,2022,9,23.706666666666667,35.0,125.1,64.5,Primavera
Glória,1.1076478880368243,-22.916,-43.1756,2022,10,26.33225806451613,33.3,82.60000000000001,71.3225806451613,Primavera
Glória,1.1076478880368243,-22.916,-43.1756,2022,11,25.376666666666665,32.8,150.6,70.36666666666666,Primavera
Glória,1.1076478880368243,-22.916,-43.1756,2022,12,27.241935483870968,32.7,191.1,70.61290322580645,Verao
Glória,1.1076478880368243,-22.916,-43.1756,2023,1,28.541935483870965,32.8,197.5,72.54838709677419,Verao
Glória,1.1076478880368243,-22.916,-43.1756,2023,2,30.275,34.2,128.7,69.92857142857143,Verao
Glória,1.1076478880368243,-22.916,-43.1756,2023,3,29.11290322580645,33.4,72.2,69.38709677419355,Outono
Glória,1.1076478880368243,-22.916,-43.1756,2023,4,26.563333333333333,29.9,80.2,67.53333333333333,Outono
Glória,1.1076478880368243,-22.916,-43.1756,2023,5,24.716129032258067,27.6,63.3,68.80645161290323,Outono
Glória,1.1076478880368243,-22.916,-43.1756,2023,6,25.023333333333333,29.7,28.1,61.6,Inverno
Glória,1.1076478880368243,-22.916,-43.1756,2023,7,25.164516129032258,35.0,55.8,55.2258064516129,Inverno
Glória,1.1076478880368243,-22.916,-43.1756,2023,8,26.161290322580644,37.1,113.5,61.193548387096776,Inverno
Glória,1.1076478880368243,-22.916,-43.1756,2023,9,28.416666666666668,38.5,33.3,57.46666666666667,Primavera
Glória,1.1076478880368243,-22.916,-43.1756,2023,10,27.561290322580643,35.7,75.7,68.29032258064517,Primavera
Glória,1.1076478880368243,-22.916,-43.1756,2023,11,29.66333333333333,40.1,50.9,60.8,Primavera
Glória,1.1076478880368243,-22.916,-43.1756,2023,12,29.848387096774196,39.0,90.4,60.516129032258064,Verao
Grajaú,0.6083253181402659,-22.9,-43.26,2020,1,30.429032258064517,36.7,111.9,57.58064516129032,Verao
Grajaú,0.6083253181402659,-22.9,-43.26,2020,2,28.920689655172417,34.5,282.4,67.41379310344827,Verao
Grajaú,0.6083253181402659,-22.9,-43.26,2020,3,27.125806451612902,32.6,135.4,68.87096774193549,Outono
Grajaú,0.6083253181402659,-22.9,-43.26,2020,4,26.14,32.0,41.9,64.93333333333334,Outono
Grajaú,0.6083253181402659,-22.9,-43.26,2020,5,25.154838709677417,29.6,95.6,59.74193548387097,Outono
Grajaú,0.6083253181402659,-22.9,-43.26,2020,6,26.35333333333333,31.9,26.6,59.03333333333333,Inverno
Grajaú,0.6083253181402659,-22.9,-43.26,2020,7,26.0258064516129,31.6,57.8,54.41935483870968,Inverno
Grajaú,0.6083253181402659,-22.9,-43.26,2020,8,25.42258064516129,32.9,68.7,54.58064516129032,Inverno
Grajaú,0.6083253181402659,-22.9,-43.26,2020,9,28.28666666666667,35.5,156.89999999999998,58.66666666666666,Primavera
Grajaú,0.6083253181402659,-22.9,-43.26,2020,10,27.95483870967742,37.9,84.8,57.774193548387096,Primavera
Grajaú,0.6083253181402659,-22.9,-43.26,2020,11,26.39333333333333,33.5,139.2,66.73333333333333,Primavera
Grajaú,0.6083253181402659,-22.9,-43.26,2020,12,28.948387096774194,35.2,217.9,65.96774193548387,Verao
Grajaú,0.6083253181402659,-22.9,-43.26,2021,1,31.71935483870968,38.4,108.0,53.25806451612903,Verao
Grajaú,0.6083253181402659,-22.9,-43.26,2021,2,29.57857142857143,37.6,128.1,60.60714285714285,Verao
Grajaú,0.6083253181402659,-22.9,-43.26,2021,3,31.461290322580645,35.8,100.0,50.03225806451613,Outono
Grajaú,0.6083253181402659,-22.9,-43.26,2021,4,26.57333333333333,34.2,99.3,57.333333333333336,Outono
Grajaú,0.6083253181402659,-22.9,-43.26,2021,5,25.806451612903224,33.8,37.3,58.64516129032258,Outono
Grajaú,0.6083253181402659,-22.9,-43.26,2021,6,24.21333333333333,29.0,44.9,61.66666666666666,Inverno
Grajaú,0.6083253181402659,-22.9,-43.26,2021,7,23.541935483870965,31.1,17.6,51.54838709677419,Inverno
Grajaú,0.6083253181402659,-22.9,-43.26,2021,8,25.748387096774195,34.5,67.2,52.935483870967744,Inverno
Grajaú,0.6083253181402659,-22.9,-43.26,2021,9,27.39333333333333,38.1,18.0,56.4,Primavera
Grajaú,0.6083253181402659,-22.9,-43.26,2021,10,25.24516129032258,33.7,174.7,69.09677419354838,Primavera
Grajaú,0.6083253181402659,-22.9,-43.26,2021,11,26.203333333333333,32.7,124.3,65.16666666666667,Primavera
Grajaú,0.6083253181402659,-22.9,-43.26,2021,12,27.47741935483871,34.2,248.4,67.61290322580645,Verao
Grajaú,0.6083253181402659,-22.9,-43.26,2022,1,29.703225806451613,35.8,196.3,63.74193548387097,Verao
